Name,Year,Duration,Genres,IMDB,Director,Lead,Votes_per_K,Gross_per_M,Metascore,Decade
The Shawshank Redemption,1994,142,Drama,9.3,Frank Darabont,Tim Robbins,2343.11,28.34,80,1990
The Godfather,1972,175,Crime,9.2,Francis Ford Coppola,Marlon Brando,1620.367,134.97,100,1970
The Dark Knight,2008,152,Action,9.0,Christopher Nolan,Christian Bale,2303.232,534.86,84,2000
The Godfather: Part II,1974,202,Crime,9.0,Francis Ford Coppola,Al Pacino,1129.952,57.3,90,1970
12 Angry Men,1957,96,Crime,9.0,Sidney Lumet,Henry Fonda,689.845,4.36,96,1950
The Lord of the Rings: The Return of the King,2003,201,Action,8.9,Peter Jackson,Elijah Wood,1642.758,377.85,94,2000
Pulp Fiction,1994,154,Crime,8.9,Quentin Tarantino,John Travolta,1826.188,107.93,94,1990
Schindler's List,1993,195,Biography,8.9,Steven Spielberg,Liam Neeson,1213.505,96.9,94,1990
Inception,2010,148,Action,8.8,Christopher Nolan,Leonardo DiCaprio,2067.042,292.58,74,2010
Fight Club,1999,139,Drama,8.8,David Fincher,Brad Pitt,1854.74,37.03,66,1990
The Lord of the Rings: The Fellowship of the Ring,2001,178,Action,8.8,Peter Jackson,Elijah Wood,1661.481,315.54,92,2000
Forrest Gump,1994,142,Drama,8.8,Robert Zemeckis,Tom Hanks,1809.221,330.25,82,1990
"Il buono, il brutto, il cattivo",1966,161,Western,8.8,Sergio Leone,Clint Eastwood,688.39,6.1,90,1960
The Lord of the Rings: The Two Towers,2002,179,Action,8.7,Peter Jackson,Elijah Wood,1485.555,342.55,87,2000
The Matrix,1999,136,Action,8.7,Lana Wachowski,Lilly Wachowski,1676.426,171.48,73,1990
Goodfellas,1990,146,Biography,8.7,Martin Scorsese,Robert De Niro,1020.727,46.84,90,1990
Star Wars: Episode V - The Empire Strikes Back,1980,124,Action,8.7,Irvin Kershner,Mark Hamill,1159.315,290.48,82,1980
One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,Milos Forman,Jack Nicholson,918.088,112.0,83,1970
Hamilton,2020,160,Biography,8.6,Thomas Kail,Lin-Manuel Miranda,55.291,440.98,90,2020
Gisaengchung,2019,132,Comedy,8.6,Bong Joon Ho,Kang-ho Song,552.778,53.37,96,2010
Soorarai Pottru,2020,153,Drama,8.6,Sudha Kongara,Suriya,54.995,556.83,79,2020
Interstellar,2014,169,Adventure,8.6,Christopher Nolan,Matthew McConaughey,1512.36,188.02,74,2010
Cidade de Deus,2002,130,Crime,8.6,Fernando Meirelles,Kátia Lund,699.256,7.56,79,2000
Sen to Chihiro no kamikakushi,2001,125,Animation,8.6,Hayao Miyazaki,Daveigh Chase,651.376,10.06,96,2000
Saving Private Ryan,1998,169,Drama,8.6,Steven Spielberg,Tom Hanks,1235.804,216.54,91,1990
The Green Mile,1999,189,Crime,8.6,Frank Darabont,Tom Hanks,1147.794,136.8,61,1990
La vita è bella,1997,116,Comedy,8.6,Roberto Benigni,Roberto Benigni,623.629,57.6,59,1990
Se7en,1995,127,Crime,8.6,David Fincher,Morgan Freeman,1445.096,100.13,65,1990
The Silence of the Lambs,1991,118,Crime,8.6,Jonathan Demme,Jodie Foster,1270.197,130.74,85,1990
Star Wars,1977,121,Action,8.6,George Lucas,Mark Hamill,1231.473,322.74,90,1970
Seppuku,1962,133,Action,8.6,Masaki Kobayashi,Tatsuya Nakadai,42.004,373.98,85,1960
Shichinin no samurai,1954,207,Action,8.6,Akira Kurosawa,Toshirô Mifune,315.744,0.27,98,1950
It's a Wonderful Life,1946,130,Drama,8.6,Frank Capra,James Stewart,405.801,82.39,89,1940
Joker,2019,122,Crime,8.5,Todd Phillips,Joaquin Phoenix,939.252,335.45,59,2010
Whiplash,2014,106,Drama,8.5,Damien Chazelle,Miles Teller,717.585,13.09,88,2010
The Intouchables,2011,112,Biography,8.5,Olivier Nakache,Éric Toledano,760.36,13.18,57,2010
The Prestige,2006,130,Drama,8.5,Christopher Nolan,Christian Bale,1190.259,53.09,66,2000
The Departed,2006,151,Crime,8.5,Martin Scorsese,Leonardo DiCaprio,1189.773,132.38,85,2000
The Pianist,2002,150,Biography,8.5,Roman Polanski,Adrien Brody,729.603,32.57,85,2000
Gladiator,2000,155,Action,8.5,Ridley Scott,Russell Crowe,1341.46,187.71,67,2000
American History X,1998,119,Drama,8.5,Tony Kaye,Edward Norton,1034.705,6.72,62,1990
The Usual Suspects,1995,106,Crime,8.5,Bryan Singer,Kevin Spacey,991.208,23.34,77,1990
Léon,1994,110,Action,8.5,Luc Besson,Jean Reno,1035.236,19.5,64,1990
The Lion King,1994,88,Animation,8.5,Roger Allers,Rob Minkoff,942.045,422.78,88,1990
Terminator 2: Judgment Day,1991,137,Action,8.5,James Cameron,Arnold Schwarzenegger,995.506,204.84,75,1990
Nuovo Cinema Paradiso,1988,155,Drama,8.5,Giuseppe Tornatore,Philippe Noiret,230.763,11.99,80,1980
Hotaru no haka,1988,89,Animation,8.5,Isao Takahata,Tsutomu Tatsumi,235.231,150.73,94,1980
Back to the Future,1985,116,Adventure,8.5,Robert Zemeckis,Michael J. Fox,1058.081,210.61,87,1980
Once Upon a Time in the West,1968,165,Western,8.5,Sergio Leone,Henry Fonda,302.844,5.32,80,1960
Psycho,1960,109,Horror,8.5,Alfred Hitchcock,Anthony Perkins,604.211,32.0,97,1960
Casablanca,1942,102,Drama,8.5,Michael Curtiz,Humphrey Bogart,522.093,1.02,100,1940
Modern Times,1936,87,Comedy,8.5,Charles Chaplin,Charles Chaplin,217.881,0.16,96,1930
